"Timestamp","Please enter your experiment ID. ","Please enter your gender:","Please enter your major:","How many years has it been since you first started learning programming? ","What is your current level of education?  ","Have you ever studied front-end development or taken related courses?","Is the Interest-based Generation Module helpful to you? What advantages do you think it has?","Did you have difficulties when using the Interest-based Generation Module? What disadvantages do you think it has?","What suggestions do you have to improve the Interest-based Generation Module?  ","Is the Open-ended Exploration Module helpful to you? What advantages do you think it has?","Did you have difficulties when using the Open-ended Exploration Module? What disadvantages do you think it has?","What suggestions do you have to improve the Open-ended Exploration Module?  ","Is the Progressive Knowledge Unfolding Module helpful to you? What advantages do you think it has?","Did you have difficulties when using the Progressive Knowledge Unfolding Module?What disadvantages do you think it has?","What suggestions do you have to improve the  Progressive Knowledge Unfolding Module ?  ","Is the Programming Module  helpful to you? What advantages do you think it has?","Did you have difficulties when using the Programming Module?What disadvantages do you think it has?","What suggestions do you have to improve the Programming Module?  ","Is the Al Teaching Assistant Module  helpful to you? What advantages do you think it has?","Did you have difficulties when using the Al Teaching Assistant Module?What disadvantages do you think it has?","What suggestions do you have to improve the  Al Teaching Assistant Module?  ","If you have any further suggestions, please write them below.","I think that I would like to use this system frequently.  ","I found the system unnecessarily complex.  ","I thought the system was easy to use. ","I think that I would need the support of a technical person to be able to use this system. ","I found the various functions in this system were well integrated. ","I thought there was too much inconsistency in this system. ","I would imagine that most people would learn to use this system very quickly. ","I found the system very cumbersome to use. ","I felt very confident using the system. ","I needed to learn a lot of things before I could get going with this system. ","  How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)?  ","How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)? ","How much time pressure did you feel due to the rate or pace at which the tasks occurred? ","How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals? ","How hard did you have to work (mentally and physically) to accomplish your level of performance? ","How insecure, discouraged, irritated, stressed, and annoyed versus secure, gratified, content, relaxed, and complacent did you feel during the task? ","  I can understand the basic logical structure of HTML, CSS, and JavaScript code.  ","  I can understand how conditional statements (e.g., if...else) work with AI support.  ","I can predict the result of a JavaScript program when given specific input values. ","  I can identify and correct errors in my HTML, CSS, or JavaScript code with the help of AI.  ","I can understand error messages and AI-generated explanations when my code does not run correctly. ","I can improve my programming skills by learning from AI debugging suggestions. ","I can write a simple web page using HTML, CSS, and JavaScript with AI guidance. ","I can use AI to help me apply loops, conditions, or functions in JavaScript. ","I can combine AI suggestions with my own knowledge to solve a programming task. ","I feel confident that I can complete programming exercises with AI support. ","I believe I can continue learning web development effectively with AI assistance. ","I can work more efficiently by dividing tasks between myself and AI (e.g., I focus on design, AI helps with debugging). "
"2025/09/11 12:23:52 AM GMT+8","exp015","female","computer science and technology","6 months to 1 year","Undergraduate – Year 3 (Junior)","Yes","Yes.Helps align content with my personal interests, which increases engagement.","Quality of suggestions depends heavily on accurate interest detection.","Provide transparency: explain why a topic was recommended.","Yes.Promotes creativity and critical thinking through unconstrained exploration.","","","Yes.Supports step-by-step understanding of complex topics.","No I didn't.","Enhance personalization with dynamic pacing.","There is an inspiration button that can provide hints to help me learn programming.","Technical glitches (e.g., execution environment issues) can interrupt flow.","Ensure robust sandboxing and smooth code execution.","Yes.Can act as a patient, always-available assistant.He won't directly tell me the answer but will guide me to complete the task step by step.","May sometimes misinterpret questions or provide overly generic answers.","Improve context awareness: better memory of prior interactions.","Allow collaborative features where learners can compare insights, code, or exploration paths with peers.","4","2","4","4","4","2","3","2","5","2","8","3","7","8","5","2","4","5","3","5","5","5","4","3","5","5","5","5"
"2025/09/11 12:37:40 AM GMT+8","exp007","male","计算机科学与技术","Less than 6 months","Postgraduate or higher","No","helpful","no difficulties encountered, it helps to find everything I forgot","show less about how I progress","yes, it helps understanding grammar","windows are too small, maybe there are other ways to do the job","no","yes, it teaches me step by step","no","no","yes, it can give me a test","no","make minor adjustment to the text description","yes, it knows everything","no, show everything including answer","don't show answer","no","3","1","5","1","4","1","5","3","5","1","8","3","1","6","3","5","4","5","4","5","5","5","5","3","5","5","5","3"
"2025/09/11 1:20:59 AM GMT+8","exp00121","male","Computer Technology","4–8 years","Postgraduate or higher","Yes","It helps. It has a higher degree of freedom.","Slow loading or loading failure","Optimize running speed","Yes, it can be freely selected","Small selection range","Increase selection","Yes, the advantage is that it is gradual","Easy to fail to load","Optimize loading","Yes, you can check it in real time","Easy to fail to load","Optimize loading","Yes, you can ask questions in real time","Easy to fail to load","Optimize loading","Optimize loading","5","2","5","2","5","2","5","2","5","2","9","3","3","8","4","4","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/09/11 9:34:09 AM GMT+8","exp0010","Male","Data Science and Big Data Technology","Less than 6 months","Undergraduate – Year 3 (Junior)","Yes","It looks very intuitive","Too little interactive content","Increase more interaction","It looks very intuitive","no","It looks very intuitive","Help me learn knowledge","no","no","Programming is very convenient.","no","no","Help me solve the problems I can't understand.","Response too slow","Improve response speed","no","3","2","4","2","4","2","4","2","3","4","7","2","8","7","4","2","4","4","4","5","5","5","5","5","5","5","5","5"
"2025/09/11 12:36:14 PM GMT+8","exp0014","female","computer Science","2–4 years","Undergraduate – Year 3 (Junior)","Yes","Yes, it is helpful. It allows me to receive outputs that are more closely aligned with my personal preferences and learning interests. It increases engagement and makes the content feel more relevant.","Sometimes the recommendations can become too narrow, which may limit exposure to new perspectives. In addition, the module may require some time to “learn” my interests accurately.","I suggest adding options to adjust the balance between “personalized” and “exploratory” content, so users can control how much novelty they want. Transparency about why certain outputs are generated would also be useful.","Yes, it is very helpful. It encourages creativity, critical thinking, and the exploration of topics beyond a fixed scope. It is flexible and fosters curiosity-driven learning.","Sometimes it provides results that are too broad or unfocused, which can make it harder to extract concrete conclusions. It may also require more guidance for beginners.","Providing a structured option (like suggested directions or focus areas) could make exploration more efficient while still keeping it open-ended.","Yes, it is very helpful. It breaks down complex knowledge into manageable steps, making it easier to understand and retain. It supports gradual and logical learning.","The pace may sometimes feel too slow for advanced users, and it might oversimplify certain topics.","Allow users to choose their own learning depth and speed, for example by providing “basic,” “intermediate,” and “advanced” modes.","Allow users to choose their own learning depth and speed, for example by providing “basic,” “intermediate,” and “advanced” modes.","Sometimes the generated code may not be fully optimized or adapted to specific environments. In some cases, error handling is not detailed enough.","Include more context-specific debugging guidance and provide alternative coding approaches. Integration with testing frameworks would also be valuable.","Yes, it is very helpful. It offers instant explanations, personalized feedback, and learning support, which greatly enhance the learning experience.","At times, the explanations can be too general, and it may not always adapt perfectly to the learner’s prior knowledge.","Make the feedback more adaptive by considering the learner’s level, and provide step-by-step examples in addition to general explanations.","Overall, all modules are useful, but they could benefit from stronger integration with each other. For example, combining the Interest-based Generation Module with the Progressive Knowledge Unfolding Module would create a more personalized and structured learning path. Adding a feature to track progress and recommend next steps across modules would also improve the learning experience.","5","4","5","3","5","3","5","1","5","1","7","7","5","5","7","6","4","4","2","3","4","4","4","4","5","5","5","4"
"2025/09/11 12:41:03 PM GMT+8","baseline0011","Male","Computer Science and Technology","1–2 years","Undergraduate – Year 3 (Junior)","Yes","I feel very free to choose what I want to learn at my own discretion.","No","No","A little","No","No","","","","It's very cool to be able to see the code you write rendered in real-time.","No","No","When I don't know, I can ask AI, which resolves my confusion.","No","No","No","2","3","4","1","3","3","5","2","3","2","2","2","2","8","3","3","5","4","5","5","4","4","4","4","5","5","3","4"
"2025/09/11 12:47:09 PM GMT+8","baseline0012","Male","Computer Science and Technology","6 months to 1 year","Undergraduate – Year 3 (Junior)","Yes","Yes, because I can freely choose what I want to learn.","no","no","","","","","","","","","","","","","","3","2","4","2","3","2","4","4","3","2","6","7","6","4","5","5","4","3","4","3","4","3","4","4","3","3","4","4"
"2025/09/11 12:56:25 PM GMT+8","exp0011","Male","Computer Science and Technology","1–2 years","Undergraduate – Year 3 (Junior)","Yes","","","","","","","","","","","","","","","","","5","1","5","2","5","2","4","2","5","3","2","3","2","2","2","2","5","5","5","4","4","5","4","4","4","4","5","5"
"2025/09/11 1:26:52 PM GMT+8","baseline006","male","Computer Science and Technology","6 months to 1 year","Undergraduate – Year 2 (Sophomore)","No","Yes, generate interest and learn about the front-end","Yes, I'm not very familiar with HTML, CSS, and JS, but I don't think they have any shortcomings","It's best to have HTML, CSS, JS, templates for changes, and intuitive understanding of methods for font, color, and other transformations, which is beneficial for beginners","","","","","","","Yes, I have learned how to program and have gained a preliminary understanding of how to transform HTML into CSS","Yes, for beginners, it's a bit difficult to transform HTML and change it to CSS","It's a bit difficult to transform HTML into CSS, and I hope to have an intuitive template","Yes, it helps to learn programming and front-end knowledge","Yes, it helps to learn programming and front-end knowledge","No, I don't think there are any flaws","No suggestions","4","2","5","3","4","2","5","2","5","4","7","2","5","7","5","8","3","4","2","3","3","4","3","3","4","4","4","4"
"2025/09/11 1:42:54 PM GMT+8","baseline0013","male","computer sciens and technology","2–4 years","Undergraduate – Year 3 (Junior)","Yes","none","none","none","In general, you can see the finished product effect.","You will hardly notice the display interface during the process.","Increase some interaction with the display interface.","there are some，No need to look up information.","The knowledge interface is too compact, making it uncomfortable to view.","Provide separate displays for each knowledge point, instead of putting all knowledge points in one document.","just so so","Nonethere are little bugs","None","just so so,Asking questions is more convenient.","I don't understand the meaning of the question, it distorts my requirements, and it has too weak a presence; I hardly use it most of the time.","Allow it to access the current learning content.","None","3","3","4","1","2","4","4","2","3","1","3","5","1","8","3","5","5","5","5","5","5","3","5","5","5","5","3","4"
"2025/09/11 2:10:25 PM GMT+8","baseline0010","male","software engineering","2–4 years","Undergraduate – Year 3 (Junior)","Yes","It allows me to know the approximate effect of the finished product","No","Add the ability to freely adjust the size","Yes, but not many","Too small to read","Allow this module to be dragged and resized for easier reading","Let me know what knowledge points are in this part","The text is very long and has few paragraphs, making it difficult to read.","Optimize segmentation to make it more concise","I think it's pretty good","No","No","It is very easy to use, allowing me to check errors, organize knowledge points, etc.","No","No","You can drag and drop to adjust the size of each part, making it more convenient to use a certain part","4","3","4","2","2","2","4","3","4","2","4","4","3","5","3","4","4","4","2","5","4","5","4","3","4","4","4","4"
"2025/09/11 3:30:47 PM GMT+8","exp005","male","computer science and technology","1–2 years","Undergraduate – Year 3 (Junior)","Yes","It is somewhat helpful and can to some extent determine the direction of one’s learning in web design.","there is not","Different examples can be designed in different directions.","It is somewhat helpful and can simply check the implementation principles of certain parts of the website.","The objects that can be selected at the beginning are not clear.","Provide appropriate guiding effects such as highlighting optional elements according to the chapters.","Not much help","No","The gradual knowledge expansion modules for learning should make corresponding changes in conjunction with the learning chapters, clearly defining specific learning content. For example, for level 1, tags should be added at least on the section such as <title><h2>. Particularly, changes in the chapter titles that are not very noticeable in the upper left corner should be highlighted; otherwise, if you just look at the four levels written without delving into the text content and the different test questions, one might mistakenly think there is only this amount of content in this chapter.","The programming module is quite helpful, as it definitely implements the auxiliary input function of programming software and has done color differentiation.","When encountering tags like <h1></h1>, the auxiliary input function has not been well implemented.","So far, there haven't been any other issues encountered except for improving the label assistance input.","Very helpful, most general coding problems and Q&A functions can be well implemented.","There are individual instances where the response was not output in Chinese.","No","I personally suggest combining chapter titles with the progressive knowledge expansion module instead of placing them in the upper left corner of the learning webpage, or appropriately changing the tone of the webpage when the chapter changes to let users clearly know they have entered the next chapter.Is it possible for the exploration module to display all related codes, including CSS, for the selected portion?","3","2","1","1","4","1","1","1","4","2","3","1","2","6","7","1","4","5","3","5","5","5","4","4","4","5","5","4"
"2025/09/11 3:56:30 PM GMT+8","exp006","male","Data Science and Big Data Technology","6 months to 1 year","Undergraduate – Year 2 (Sophomore)","No","No help,I think it complex.","Sometimes the search function cannot be used","Can we upgrade the AI function","Can help me make clearer choices about the level of difficulty","AI cannot understand my question","It's best to be able to return independently","Can clearly to know how to use HTML","Ask a single question and AI will directly provide thr entire code","Add a simplified version","Be able to clearly understand each stop","I want to ask AI, AI is stuck","Strengthen AI deep learning capabilities","A little help","It's a big laggy.","Enhance AI self-learning capabilities","","2","3","2","4","3","4","2","2","2","4","8","6","7","6","8","6","3","3","3","4","3","4","4","3","4","3","3","3"
"2025/09/11 4:05:37 PM GMT+8","exp0013","Female","Computer Science and Technology","1–2 years","Undergraduate – Year 2 (Sophomore)","No","I think it's very good and it taught me how to get started with HTML.","I haven't encountered any difficulties.","I think the layout of the page could be improved. For instance, the ""Open Sample Page Exploration"" section on the homepage could occupy the entire left part. After this module is displayed, then sliding down, it could be the ""Progressive Knowledge Point Presentation"" module. In this way, each module's specific page won't appear so cramped.","It is helpful to understand what kind of code constitutes what kind of image.","There were no difficulties encountered.","The page is still a bit small and it doesn't look very comfortable.","It's good. It helped me understand some basic concepts.","No difficulties were encountered.","I suggest that the layout could be made more comfortable.","I think it's great! It is possible to conduct immediate inspection and correction.","I didn't encounter any difficulties and didn't find any shortcomings.","There are no specific suggestions.","I think this is the best module! AI can detect the current code situation, make real-time analyses, and the analyses are very accurate. The teaching content is also very helpful, giving the impression of being a teacher.","No difficulties were encountered."," I think AI could be more guiding rather than simply providing the answers.","1. It might be a bit challenging to achieve, but I wonder if it's possible to add more theme colors so that users can have more interactive functions. Then the page colors would look more personalized and cheerful. 
2. On the knowledge graph, I hope to add a small crown on the module to indicate that ""this module has been completed"", so that users can experience the same sense of joy as completing a level.","4","1","5","1","3","3","5","1","5","1","8","1","8","7","6","5","4","5","3","5","5","5","4","4","4","4","4","1"
